Jahr,Getreide,Kartoffeln,"Silo-,Grün-mais",Freiland-gemüse,Wiesen und Weiden,Rebland,Obstanlagen,Übrige Flächen,Total,davon im Ausland,Rindvieh,davon Kühe,Pferde,"Ponys, Esel",Schweine,Schafe,Ziegen,Geflügel,Bienenvölker,Landwirtschaftsbetriebe – Alle,Landwirtschaftsbetriebe – hauptber. Landwirte,"Anzahl Betriebe – 0,00-3,00 ha","Anzahl Betriebe – 3,01-10,00 ha","Anzahl Betriebe – 10,01-20,00 ha","Anzahl Betriebe – 20,01+ ha",Fläche – pro Betrieb,Beschäftigte – Vollzeit,Beschäftigte – Teilzeit,Beschäftigte – Männer,Beschäftigte – Frauen,Beschäftigte – Total
2001,142,1,21,0,282,5,5,20,476,…,397,186,3,8,617,52,19,417,…,18,15,4,3,–,11,26.4,70,46,82,34,116
2002,120,1,21,–,297,5,5,56,505,24,413,176,7,6,457,51,15,439,…,19,12,4,3,–,12,26.6,81,41,90,32,122
2003,97,1,34,0,300,5,6,27,470,15,371,167,9,5,465,53,12,368,…,18,12,4,3,–,11,26.1,49,48,56,41,97
2004,100,1,30,1,294,5,6,28,465,…,,,,,,,,,,17,12,4,2,–,11,27.4,30,23,27,26,53
2005,117,0,32,1,289,5,4,15,463,59,394,175,12,6,622,53,19,346,…,14,12,2,2,1,9,33.0,30,27,34,23,57
2006,124,0,25,1,288,5,3,14,460,…,,,,,,,,,,14,11,2,2,1,9,32.9,30,25,32,23,55
2007,134,–,22,1,238,2,3,14,414,73,345,166,6,9,195,57,22,345,35,14,11,4,1,1,8,29.6,25,31,32,24,56
2008,126,–,26,1,280,2,3,25,463,72,342,160,7,10,198,42,16,357,…,14,11,4,1,1,9,33.1,20,26,30,16,46
2009,127,–,19,0,296,2,4,16,463,71,372,159,22,10,155,44,14,363,…,14,11,4,1,1,9,33.1,19,28,32,15,47
2010,120,–,15,0,314,5,3,15,472,71,388,160,24,19,194,25,29,383,…,14,11,2,2,1,9,33.7,63,27,51,39,89
2011,93,–,15,0,269,5,4,32,418,70,354,161,25,21,196,27,27,415,3,13,11,2,3,–,8,32.2,60,30,46,44,90
2012,104,–,19,0,270,5,4,17,419,70,332,161,24,22,150,14,28,434,4,13,11,3,2,–,8,32.2,61,31,51,41,92
2013,110,–,10,0,267,4,4,29,424,70,336,161,23,15,60,16,9,379,6,11,10,1,2,–,8,38.5,47,21,38,30,68
2014,88,–,19,0,265,7,4,36,419,70,315,161,22,16,110,13,21,365,33,12,10,1,3,–,8,34.9,50,23,41,32,73
2015,112,–,17,–,269,7,3,20,428,69,332,166,22,7,120,29,16,325,18,11,10,1,3,–,7,38.9,49,18,35,32,67
2016,97,–,19,4,279,7,4,20,431,69,319,165,28,14,120,15,14,360,29,13,11,3,3,–,7,33.1,30,20,35,15,50
